nickname,userProvince,userLevelName,userClientShow,isMobile,score,evaluation,creationTime,referenceTime,days,referenceId,content
"百***乐","四川","金牌会员","来自京东Android客户端","True","5","好评","2016-06-29 18:52:01","2016-06-18 08:33:39","11","1015650","京东真的好，送货师傅也真好！！！全五星?????"
"a***6","陕西","钻石会员","来自京东iPhone客户端","True","5","好评","2016-06-07 21:17:43","2016-06-05 16:22:47","2","1015650","很不错，值得购买，支持国货，本来要买西门子的，上一个就是，但改海尔了"
"S***一","四川","钻石会员","来自京东Android客户端","True","5","好评","2016-07-24 22:19:01","2016-07-18 21:40:21","6","1015650","完美漂亮  希望皮实耐用"
"燕***9","陕西","金牌会员","来自京东Android客户端","True","5","好评","2016-06-30 07:14:23","2016-04-29 11:00:30","62","1015650","一次买了两个大件，买的都是自己喜欢的，也许外面都没有，价格也优惠。不用出门对比。售后服务也好"
"j***e","湖南","钻石会员","来自京东Android客户端","True","5","好评","2016-05-31 21:14:27","2016-05-28 16:10:46","3","1015650","洗衣机好重，价格实惠，就是甩衣服的声音比较大，操作方便"
"快***你","陕西","金牌会员","来自京东Android客户端","True","5","好评","2016-09-04 16:52:08","2016-09-02 10:53:44","2","1015650","海尔洗衣机就是好，不愧是大品牌。"
"歪果仁孙大盼","","银牌会员","来自京东iPhone客户端","True","5","好评","2016-06-04 11:12:57","2016-06-01 10:28:51","3","1015650","货物收到了，挺快的，61做活动买的，挺好"
"j***c","山东","金牌会员","来自京东iPhone客户端","True","5","好评","2016-06-18 08:22:29","2016-06-15 10:40:35","3","1015650","洗衣机确实不错 外观好看 耐用！"
"j***j","","银牌会员","来自京东Android客户端","True","5","好评","2016-11-06 12:54:36","2016-11-04 10:24:06","2","1015650","11月4号买的，5号就送到了，快递给力。6号售后服务就来免费安装了，相信海尔，洗衣机航装好，还没有使用，用后才来评价"
"j***篷","江西","钻石会员","来自京东iPhone客户端","True","5","好评","2016-09-02 10:46:22","2016-08-27 21:41:26","6","1015650","洗衣机总体很好，就是洗衣服的时候声音好响，不知道是不是质量问题还是其它，在观察下，如果还是这样就打客服电话上门查看，如果质量问题就更换新的"
"p***7","","金牌会员","","False","5","好评","2016-11-01 10:09:52","2016-10-03 17:18:50","29","1015650","性价比高，搞活动时购买的，划算，脱水效果好！声音有点大，但价格在这里，还是很不错的。"
"j***t","","铜牌会员","","False","5","好评","2016-04-18 23:02:16","2016-03-07 12:37:26","42","1015650","偶还来哈！哈哈，要记得偶啦！非常不错的一次购物体验，*，值了！"
"8***宝","","钻石会员","","False","5","好评","2016-06-05 19:30:13","2016-06-01 04:07:14","4","1015650","很好很不错，很喜欢这个东西！京东买东西速度就是快！！爽，很好！"
"m***m","广东","金牌会员","来自京东Android客户端","True","5","好评","2016-10-04 21:07:43","2016-09-08 20:22:16","26","1015650","这个说起来不信，洗不干净。而且脱水动静特别大，几乎是会动的，整个洗衣机都会移位。很震。很多泡泡。说是7斤，但是洗多一点就洗不动了。"
"t***5","","金牌会员","","False","5","好评","2016-06-20 17:27:34","2016-05-02 12:39:14","49","1015650","非常给力的一台洗衣机，几个也很舒服。"
"j***a","四川","银牌会员","来自京东Android客户端","True","5","好评","2016-08-05 10:59:42","2016-07-30 15:09:51","6","1015650","买回来用了好几天了，用着还不错，就是有一点洗完门口有点泡泡，还算满意。"
"j***1","","银牌会员","来自京东Android客户端","True","5","好评","2017-02-08 20:41:16","2017-02-06 16:00:49","2","1015650","洗衣机不错，安装好就用了，噪音不算大，送货员一个人背上3楼真心不容易啊！"
"J***y","","金牌会员","","False","5","好评","2016-06-18 11:37:31","2016-06-16 17:46:48","2","1015650","还行，声音不大。洗衣很干净"
"乖***4","浙江","金牌会员","来自京东iPhone客户端","True","5","好评","2016-06-02 17:53:45","2016-05-31 17:40:57","2","1015650","大家评价说这个洗衣机没滚筒的洗得干净 我不认同 挺干净的 还有脱水一点不比波轮的差 不好的是脱水的声音真的像其他评价的说的 好大声 像飞机起飞和滑行的声音"
"z***8","陕西","金牌会员","来自京东iPhone客户端","True","5","好评","2016-07-18 17:33:31","2016-06-18 01:05:46","30","1015650","好好好，当场试了下，师傅还给解释了下平时使用的问题，信任海尔"
"艾***琴","北京","钻石会员","来自京东Android客户端","True","5","好评","2016-06-19 15:01:57","2016-06-09 09:18:31","10","1015650","我家的洗衣机一直用海尔，一如既往的好，挺好的，告诉大家，值得购买。"
"a***0","","金牌会员","来自京东Android客户端","True","5","好评","2016-06-03 17:48:36","2016-05-31 17:05:43","3","1015650","活动价给力，前一天买的，还好改了活动价。不然直接退货再买。"
"圣***x","湖南","PLUS会员","来自京东Android客户端","True","5","好评","2016-06-09 19:40:06","2016-05-16 12:06:50","24","1015650","海尔大品牌  洗衣机值的信赖 京东价格实惠 比实体店优惠多了"
"z***d","河南","银牌会员","来自京东iPhone客户端","True","5","好评","2016-06-14 16:59:15","2016-06-12 23:33:35","2","1015650","还不错，就是水龙头收费太贵，一个要45，自己下去买了个又"
"z***i","四川","金牌会员","来自京东Android客户端","True","5","好评","2016-07-17 12:14:46","2016-06-09 22:59:48","38","1015650","送货很快，洗衣机还行，用了几次了，挺好，没发现什么缺点"
"x***u","","PLUS会员","来自京东iPhone客户端","True","5","好评","2016-06-12 11:13:42","2016-06-03 21:11:13","9","1015650","声音蛮小的，一开始没有正确安装，客服也很耐心的帮助?"
"Q***1","","金牌会员","来自京东Android客户端","True","5","好评","2016-08-07 09:06:31","2016-08-03 21:04:50","4","1015650","&hellip;&hellip;&hellip;其实一开始以为大了  后来发现刚刚好  ～可以可以"
"胡***梭","","银牌会员","来自京东Android客户端","True","5","好评","2016-06-10 10:38:25","2016-06-08 14:40:28","2","1015650","配送帅哥给力，安装调试效果杠杠的，等用了之后再评价"
"j***w","辽宁","钻石会员","来自京东iPhone客户端","True","5","好评","2016-06-13 11:23:49","2016-04-09 17:00:44","65","1015650","在新家还没用，安装小伙特别给力特别好，讲解清楚"
"c***o","四川","钻石会员","来自京东Android客户端","True","5","好评","2016-06-21 12:38:41","2016-06-18 10:22:42","3","1015650","送货快，上午买下午就到了，安装师傅到的也很快"
"j***t","","金牌会员","来自京东Android客户端","True","5","好评","2016-06-16 09:55:08","2016-06-02 23:19:33","14","1015650","超实惠的价格，海尔大品牌还是变频的。好用。"
"U***l","","金牌会员","来自微信购物","False","5","好评","2016-06-07 16:06:51","2016-05-30 19:27:03","8","1015650","东西很满意，就是有点小问题不过已经解决了。"
"J***1","福建","银牌会员","来自京东iPhone客户端","True","5","好评","2016-09-24 00:41:42","2016-09-21 01:17:41","3","1015650","很好，很棒，比想像中的好"
"j***w","","钻石会员","来自京东Android客户端","True","5","好评","2016-06-04 10:03:36","2016-06-01 10:43:04","3","1015650","安装师傅很上心，还未使用先赞一个"
"j***9","四川","金牌会员","来自京东Android客户端","True","5","好评","2016-08-02 10:00:18","2016-07-31 09:45:31","2","1015650","很不错，操作简单，很好用。"
"M***n","陕西","钻石会员","来自京东Android客户端","True","5","好评","2016-07-11 21:13:37","2016-06-28 09:49:40","13","1015650","买了第三台了，给父母用的"
"c***0","","金牌会员","来自京东Android客户端","True","5","好评","2016-11-17 21:00:56","2016-11-16 17:30:17","1","1015650","昨天下午5点过下的到单，今天下午就送货了速度很快！！前天在某宁下单因昨天价格下调咨询客服半天不会，就直接取消订单改在京东下单。不错！因刚送到需要放置一段时间，不知后续使用效果如何?！"
"无***家","湖北","金牌会员","","False","5","好评","2016-08-07 09:53:16","2016-08-04 12:42:34","3","1015650","第一次用滚桶的洗衣机，没想到这节水也是一级节能的电器，应该也是节电的，满意的购物体验。"
"j***q","","铜牌会员","","False","5","好评","2016-03-14 11:59:41","2016-03-07 12:18:58","7","1015650","客服人很好，很耐心！所有问题都解释的清清楚楚！有机会还会光顾的!非常不错的一次购物体验，*，值了！"
"颠***活","四川","钻石会员","","False","5","好评","2016-06-04 18:17:16","2016-05-29 21:17:17","6","1015650","海尔（Haier）XQG70-1000J 7公斤滚筒洗衣机 防霉抗菌窗垫 3年质保"
"l***o","","银牌会员","","False","5","好评","2016-06-01 07:24:57","2016-04-09 08:36:16","53","1015650","第一次购买大容量滚筒洗衣机，一次能洗很多衣服真是很省时，洗的也很干净。超给力。"
"万***琦","","PLUS会员","来自京东Android客户端","True","5","好评","2016-06-04 07:27:43","2016-06-01 01:04:07","3","1015650","很满意，好评！！！！"
"r***n","河南","金牌会员","","False","5","好评","2016-06-20 11:00:44","2016-05-01 21:46:37","50","1015650","不错，用了一次。主要满意送货的小哥和安装小哥。服务态度不错。满意海尔的产品"
"j***a","","银牌会员","","False","5","好评","2016-03-14 12:00:27","2016-03-07 12:42:03","7","1015650","价格便宜，质量还算可以，发货速度比较快，给个好评吧！非常不错的一次购物体验，*值了！"
"j***s","","金牌会员","","False","5","好评","2016-02-20 19:33:33","2016-02-18 16:14:17","2","1015650","很好的卖家。谢谢喽。我的同事们都很喜欢呢。下次再来哦！非常不错的一次购物体验，***"
"j***i","","金牌会员","","False","5","好评","2016-04-10 11:06:52","2016-03-10 01:53:47","31","1015650","赞一个 发货迅速，宝贝和图片差不多。。非常不错的一次购物体验，*值了！"
"小***猪","北京","钻石会员","来自京东iPhone客户端","True","5","好评","2016-06-16 14:06:25","2016-05-13 13:56:22","34","1015650","大品牌 值得信赖"
"j***j","福建","钻石会员","来自京东Android客户端","True","5","好评","2016-10-11 19:17:32","2016-10-09 20:17:02","2","1015650","洗衣机声音很小，洗的很干净了"
"j***t","","银牌会员","","False","5","好评","2016-04-18 23:47:22","2016-03-07 13:34:44","42","1015650","合作愉快，已经确认付款，请查收！非常不错的一次购物体验，*值了！"
"j***f","","铜牌会员","","False","5","好评","2016-04-18 23:01:57","2016-03-07 12:36:25","42","1015650","非常感谢，好喜欢哦，下次再来哦~非常不错的一次购物体验，*值了！"
"j***p","","铜牌会员","","False","5","好评","2016-04-18 23:03:21","2016-03-07 12:47:48","42","1015650","虽然有点麻烦。。但是诚信拉！非常不错的一次购物体验，*值了！"
"j***z","","铜牌会员","","False","5","好评","2016-04-18 23:02:34","2016-03-07 12:37:54","42","1015650","速度很快^很快^很快......谢谢了~~~有机会再合作~~~非常不错的一次购物体验，*值了！"
"5***钦","福建","钻石会员","","False","5","好评","2016-03-11 21:19:08","2016-03-07 12:11:19","4","1015650","服务质量好,态度热情,值得推荐！非常不错的一次购物体验，***"
"j***u","","银牌会员","","False","5","好评","2016-04-15 02:36:15","2016-03-07 12:49:10","39","1015650","还不错，质量挺好的，速度也快！非常不错的一次购物体验，**"
"j***u","","金牌会员","","False","5","好评","2016-04-10 11:04:17","2016-03-10 01:52:17","31","1015650","呵，货真不错，老婆很喜欢！非常不错的一次购物体验，*值了！"
"j***k","","金牌会员","","False","5","好评","2016-04-10 11:04:09","2016-03-10 01:45:50","31","1015650","呵，货真不错，老公很喜欢！非常不错的一次购物体验，*值了！"
"5***平","","钻石会员","","False","5","好评","2016-03-14 11:49:18","2016-03-07 12:18:24","7","1015650","不好意思，学校上课，确认晚了~非常不错的一次购物体验，*，值了！"
"j***g","","铜牌会员","","False","5","好评","2016-03-14 11:59:26","2016-03-07 12:17:00","7","1015650","不错的京东，发货很快的说！非常不错的一次购物体验，*，值了！"
"j***q","","铜牌会员","","False","5","好评","2016-04-18 23:02:43","2016-03-07 12:43:55","42","1015650","加油加油~生意欣荣！非常不错的一次购物体验，*，值了！"
"j***h","","金牌会员","","False","5","好评","2016-02-20 19:33:40","2016-02-18 16:14:41","2","1015650","对比之后,还是京东的最好！非常不错的一次购物体验，***"
"j***0","山东","银牌会员","","False","5","好评","2016-06-08 18:50:43","2016-05-05 13:39:17","34","1015650","很喜欢；还有店家的服务态度也还不错~ 好评！"
"j***h","","铜牌会员","","False","5","好评","2016-03-14 11:58:55","2016-03-07 12:15:54","7","1015650","質量好又便宜..非常不错的一次购物体验，*，值了！"
"w***2","","PLUS会员","","False","5","好评","2016-10-20 18:10:25","2016-10-10 21:44:27","10","1015650","不错，买了给老妈用的！"
"j***v","山西","银牌会员","来自京东Android客户端","True","5","好评","2016-12-13 23:25:13","2016-12-11 05:36:36","2","1015650","洗的也一般，不是很干净，甩干的时候声音很大，洗衣机的位置都移动了，送来的时候不能用，安装师傅把洗衣机拆开修了才能用，一送来就不合适，心里总有一种不好的感觉。好在安装师傅服务很好，要不我就直接退掉了！"
"沉***钢","四川","银牌会员","来自京东Android客户端","True","5","好评","2016-10-16 22:14:53","2016-10-07 17:31:56","9","1015650","给爸妈买的，物流超快，以为隔几天，谁知道再问的时候已经都送家里了。机子很好看，就是胶圈有点过时。效果还没有用不知道，滚筒的都应该差不多吧。"
"j***3","内蒙古","银牌会员","","False","5","好评","2016-06-08 18:50:08","2016-05-05 12:46:43","34","1015650","非常好的超值。不错，，和想像中的差不多，，挺好的，，"
"h***w","","银牌会员","来自京东Android客户端","True","5","好评","2016-07-11 18:59:45","2016-07-08 18:36:53","3","1015650","虽然不算很静音，时间也有点长，但总体效果还可以哟，特别是海尔的安装人员很贴心的，有小孩睡着了还让送货员轻声点抬进屋，给安装师傅打满分"
"j***7","","银牌会员","来自京东iPhone客户端","True","5","好评","2017-01-08 15:20:25","2016-12-09 13:37:40","30","1015650","第一天下单，第二天就送到家里，速度没得说了，白羽绒服放进去一会就洗干净出来了，解放双手，很不错"
"2***I","四川","银牌会员","","False","5","好评","2016-06-07 18:17:10","2016-05-17 20:53:41","21","1015650","洗了几次，目前感觉还可以。一起还买了另一款变频的，这款跟变频的比起来声音大了点，省水，但应该不省电，因为除了速洗其它程序时间都比较长，衣服洗得还算干净，第一次在网上买电器，希望以后也一直好用。"
